Date,Actual_Price,Predicted_Price
01-01-2024,168.3005066,167.8339392
02-01-2024,170.7503662,168.1899177
03-01-2024,177.3200073,169.8978431
04-01-2024,177.1699982,174.9129751
05-01-2024,177.8200073,175.1413146
06-01-2024,177.75,175.8572986
07-01-2024,174.8800049,176.3126847
08-01-2024,170.2899933,174.1921639
09-01-2024,176.2400055,171.0559694
10-01-2024,176.6699982,175.4727051
11-01-2024,183.6100006,175.7970575
12-01-2024,178.4299927,180.540697
13-01-2024,176.9700012,176.8685985
14-01-2024,177.6900024,176.0228585
15-01-2024,178.1900024,177.0534327
16-01-2024,181.8500061,177.7762925
17-01-2024,186.5800018,180.7115595
18-01-2024,187.2400055,184.4161753
19-01-2024,188.8899994,185.6557008
20-01-2024,187.6199951,187.2886815
21-01-2024,185.5399933,186.6226995
22-01-2024,185.0399933,185.4413728
23-01-2024,189.1100006,185.3902359
24-01-2024,192.5700073,188.5827796
25-01-2024,183.1600037,190.2396166
26-01-2024,188.3200073,183.4494349
27-01-2024,180.0299988,186.4628762
28-01-2024,179.8300018,180.3726601
29-01-2024,181.8099976,180.0417401
30-01-2024,183.2200012,181.2087792
31-01-2024,182.6399994,181.8086036
01-02-2024,181.1600037,181.6255675
02-02-2024,180.2799988,180.435313
03-02-2024,182.1600037,180.4318773
04-02-2024,186.2599945,181.8685115
05-02-2024,191.4900055,185.002445
06-02-2024,201.0299988,189.0547789
07-02-2024,207.0399933,196.8208527
08-02-2024,202.8899994,201.8249251
09-02-2024,202.4900055,199.8872107
10-02-2024,206.8800049,200.6855874
11-02-2024,198.6900024,203.8463826
12-02-2024,195.2100067,198.2170156
13-02-2024,188.0800018,195.415105
